Hora,Acel X,Acel Y,Acel Z,Giro X,Giro Y,Giro Z,Mag X,Mag Y,Mag Z,Temperatura,Presion,Altura,CO2,,,,,,,,
00:00:00,1.00,0.13,0.11,-5.55,0.31,-1.4,0,0,0,30.33,1012.12,9.4,360,,,,,,,,
00:00:01,1.00,0.13,0.1,-4.27,1.4,0.49,0,0,0,30.35,1012.13,9.34,357,,,,,,,,
00:00:02,0.97,0.14,0.1,-3.78,-3.23,1.95,0,0,0,30.35,1012.14,9.28,357,,,,,,,,
00:00:03,1.06,0.11,0.06,-21.61,16.3,-1.1,0,0,0,30.36,1012.12,9.21,354,,,,,,,,
00:00:04,1.00,0.12,0.1,-5.68,3.91,-5.74,0,0,0,30.35,1012.12,9.44,357,,,,,,,,
00:00:05,1.00,0.13,0.1,-4.15,2.26,1.77,0,0,0,30.37,1012.14,9.26,368,,,,,,,,
00:00:06,0.97,0.14,0.07,2.14,-1.34,9.77,0,0,0,30.38,1012.12,9.41,370,,,,,,,,
00:00:07,1.00,0.07,0.09,-7.69,5.31,-5.86,0,0,0,30.38,1012.14,9.27,368,,,,,,,,
00:00:08,0.98,0.1,0.11,-5.92,-2.26,-1.16,0,0,0,30.38,1012.12,9.38,406,,,,,,,,
00:00:09,1.00,0.11,0.11,-4.09,1.34,0.55,0,0,0,30.39,1012.14,9.25,390,,,,,,,,
00:00:10,0.99,0.1,0.12,-3.3,1.4,1.77,0,0,0,30.4,1012.14,9.22,379,,,,,,,,
00:00:11,0.98,0.09,0.1,-5.43,0.43,-2.56,0,0,0,30.42,1012.15,9.12,376,,,,,,,,
00:00:12,0.98,0.1,0.1,-3.3,1.77,0.12,0,0,0,30.42,1012.14,9.24,374,,,,,,,,
00:00:13,-0.34,0.16,-0.65,123.17,325.2,-41.69,0,0,0,30.43,1012.15,9.2,370,,,,,,,,
00:00:14,2.10,-0.07,-0.5,-29.05,-37.84,68.85,0,0,0,30.4,1012.13,9.29,365,,,,,,,,
00:00:15,0.96,0.2,0.01,24.6,57.86,35.95,0,0,0,30.41,1012.16,9.11,362,,,,,,,,
00:00:16,1.00,0.16,0.06,-4.58,1.46,0.73,0,0,0,30.4,1012.1,9.6,368,,,,,,,,
00:00:17,1.01,0.16,-0.01,-21.12,-24.66,-29.42,0,0,0,30.42,1012.14,9.25,427,,,,,,,,
00:00:18,0.05,-0.29,-0.98,47.49,57.07,-42.42,0,0,0,30.43,1012.1,9.61,409,,,,,,,,
00:00:19,0.05,-0.1,-0.99,-0.73,2.87,-1.53,0,0,0,30.5,1012.09,9.68,392,,,,,,,,
00:00:20,0.06,-0.14,-0.97,5.13,0.06,14.16,0,0,0,31.46,1012.17,9.02,383,,,,,,,,
00:00:21,0.38,-0.54,-0.93,1.04,49.44,-36.07,0,0,0,30.67,1012.12,9.42,378,,,,,,,,
00:00:22,-0.02,-0.34,-0.94,-1.04,13.79,-3.23,0,0,0,30.73,1012.09,9.65,368,,,,,,,,
00:00:23,0.10,-0.37,-0.93,-0.79,1.71,-1.22,0,0,0,30.9,1012.1,9.6,364,,,,,,,,
00:00:24,0.06,-0.31,-0.9,-7.57,-4.52,4.94,0,0,0,31.06,1012.09,9.66,365,,,,,,,,
00:00:25,0.04,-0.32,-0.88,15.38,15.63,-8.24,0,0,0,30.96,1012.1,9.59,362,,,,,,,,
00:00:26,0.19,-0.3,-0.96,-3.78,-3.91,-0.06,0,0,0,31.14,1012.07,9.81,355,,,,,,,,
00:00:28,0.19,-0.32,-0.93,-3.66,0.18,-1.95,0,0,0,32.72,1012.11,9.49,348,,,,,,,,
00:00:29,0.67,-0.5,-0.36,-1.65,-14.16,10.19,0,0,0,32.69,1012.21,8.88,351,,,,,,,,
00:00:30,0.62,0.61,0.3,-67.02,0.67,-26.92,0,0,0,32.05,1012.24,8.43,351,,,,,,,,
00:00:31,0.96,0.28,0.03,-3.85,-1.34,0.55,0,0,0,31.68,1012.19,8.83,350,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40,50,60,70,80,90,100
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
